permit_number,case_type,case_name,sub_type,work,status,proposed_land_use,desc_of_proposed_development,final_date,status_date,application_start_date,approval_date,calendar_year_folder_created,zip_code,existing_no_of_lots,proposed_no_of_lots
2019-140858 C,Subdivision Joint City/County,Ralph White Addition,Subdivision Vacation,Without Replat,Expired,Streets and Drainage,NA,NA,01/25/2020 03:45:45 AM,06/26/2019,NA,2019,NA,NA,1
2017-001282 C8,Subdivision,Bellingham Meadows Phase II Sec II,Final Plat,With Preliminary,Subdivision Recorded,Single Family,NA,06/27/2018,06/27/2018 09:46:24 AM,01/05/2017,06/27/2018,2017,78653,1,90
2001-000103 C8,Subdivision,"STEINER RANCH PHASE 1, SECTION 8D",Subdivision Construction Plan,Rough Cut,Closed,SF,"STEINER RANCH PHASE 1, SECTION 8D",01/16/2002,03/02/2007 06:10:13 AM,12/27/2001,NA,2001,NA,NA,NA
2016-155448 C8,Subdivision,"Replat of Block 5, Pleasant Hill Addition",Final Plat,Amended Plat,Expired,Commercial,NA,NA,02/11/2017 09:00:33 PM,12/27/2016,NA,2016,78745,10,1
2012-057209 C8,Subdivision,Pioneer Crossing West Section 10,Subdivision Construction Plan,Non-Concurrent,Subdivision Recorded,Single Family,NA,NA,02/21/2013 11:35:31 AM,06/08/2012,02/21/2013,2012,78753,NA,43
2016-093504 C,Subdivision Joint City/County,Eastwood Section 1 (Construction Plans),Subdivision Construction Plan,Concurrent,In Review,Single Family,NA,NA,04/07/2020 11:27:52 AM,08/04/2016,NA,2016,NA,NA,81
2017-050016 C,Subdivision Joint City/County,Prado Ranch Section 2,Subdivision Construction Plan,Concurrent,Approved and Released,Single Family,NA,NA,05/11/2018 08:32:41 AM,04/27/2017,05/11/2018,2017,NA,NA,126
2020-193815 C8,Subdivision,Cascades III Subdivision Project Assessment,Final Plat,With Preliminary,Inactive,Multifamily,NA,NA,04/17/2021 06:01:15 PM,12/28/2020,NA,2020,78747,0,1
1998-000035 C8,Subdivision,CROSSING AT PARMER LANE SEC 2,Subdivision Construction Plan,Street/Drainage,Closed,999,"CROSSING AT PARMER LANE, SECTION TWO",07/01/1998,02/17/2009 02:02:22 PM,02/20/1998,NA,1998,NA,NA,NA
1992-000200 C8,Subdivision,SIERRA OAKS II,NA,NA,Approved and Released,999,SIERRA OAKS II,01/19/1993,03/02/2007 06:10:13 AM,12/28/1992,NA,1992,NA,NA,NA
1997-000016 C8,Subdivision,CENTRAL COMMERCE PARK,Subdivision Construction Plan,Non-Concurrent,Closed,999,CENTRAL COMMERCE PARK,NA,04/17/2009 10:32:53 AM,11/20/1997,NA,1997,NA,NA,11
2017-110400 C,Subdivision Joint City/County,"Resubdivision of Lot 3, Block C, THE POST OAK",Final Plat,Resubdivision,Subdivision Recorded,Single Family,NA,06/06/2019,06/06/2019 09:42:51 AM,09/05/2017,06/06/2019,2017,78653,NA,6
1999-002082 C8,Subdivision,SETTE TERRA - NAME CHANGED FROM MESA VISTA,Preliminary Plan,Preliminary,Approved,SF,SETTE TERRA - NAME CHANGED FROM MESA VISTA,09/20/2000,03/02/2007 06:10:13 AM,10/19/1999,NA,1999,NA,NA,NA
2002-000210 C8,Subdivision,"STASSNEY HEIGHTS COMPOSITE, AMENDED PLAT OF RESUB OF LOTS 1A, 2A, & 4A, BLOCK B",Final Plat,Amended Plat,Approved,NA,"STASSNEY HEIGHTS COMPOSITE, AMENDED PLAT OF RESUB OF LOTS 1A, 2A, & 4A, BLOCK B",04/16/2003,02/05/2009 03:07:58 PM,10/29/2002,NA,2002,NA,NA,NA
2016-049223 C8,Subdivision,Gault Street Final Plat,Final Plat,Resubdivision,Withdrawn,Single Family,NA,NA,05/08/2017 11:19:50 AM,04/29/2016,NA,2016,78757,1,2
2001-000253 C8,Subdivision,OLYMPIC HEIGHTS (WITHDRAWAL AND RESUBMITTAL OF C8-01-0096),Preliminary Plan,Preliminary,Approved,SF,OLYMPIC HEIGHTS (WITHDRAWAL AND RESUBMITTAL OF C8-01-0096),02/21/2002,03/02/2007 06:10:13 AM,11/20/2001,NA,2001,NA,NA,NA
1984-000189 C8,Subdivision,"AUSTIN EXECUTIVE AIRPARK EAST, PHASE 1",NA,NA,Closed,"999, 999","AUSTIN EXECUTIVE AIRPARK EAST, PHASE 1",12/23/1986,03/02/2007 06:10:13 AM,11/18/1986,NA,1986,NA,NA,NA
2020-047587 C8,Subdivision,Copperfield Place,Final Plat,Previously Unplatted,Expired,Single Family,NA,NA,05/05/2020 09:01:07 PM,03/20/2020,NA,2020,NA,1,1
1998-000037 C8,Subdivision,PARK CENTRAL SEC 2,Final Plat,Without Preliminary,Approved,999,PARK CENTRAL SECTION TWO,NA,08/01/2007 07:19:58 AM,02/24/1998,NA,1998,NA,NA,2
2013-006933 C8,Subdivision,Parmer Place Subdivision Lot 10; Resubdivison of,Final Plat,Resubdivision,Subdivision Recorded,MultiFamily,NA,10/08/2013,10/08/2013 09:53:24 AM,01/24/2013,10/08/2013,2013,78753,1,2
2003-000124 C8,Subdivision,"JOE CROW SUBDIVISION, RESUB OF AND A PORTION OF LOT 1, SUBDIVISION OF A PORTION",Final Plat,Without Preliminary,Approved,OFC,"JOE CROW SUBDIVISION, RESUB OF AND A PORTION OF LOT 1, SUBDIVISION OF A PORTION OF A 48.8 ACRES",11/19/2003,03/02/2007 06:10:13 AM,08/11/2003,NA,2003,78753,NA,2
2008-015459 C8,Subdivision,"Mrs. A.J. Pace Subdivision, Amended Plat of Lots 6 & 7",Final Plat,Amended Plat,Approved,Duplex,NA,NA,05/30/2008 03:01:13 PM,03/05/2008,04/18/2008,2008,78704,2,2
2017-037921 C,Subdivision Joint City/County,"Amd. Plat of Lots 2A & 3A, Blk A of Wells Branch Center Subd. Amd. Plat",Final Plat,Amended Plat,Subdivision Recorded,Commercial,NA,09/13/2017,09/13/2017 09:35:02 AM,03/31/2017,09/13/2017,2017,78728,NA,2
2012-047110 C,Subdivision Joint City/County,Steiner Ranch MU-14 Final Plat,Final Plat,With Replat,Withdrawn,Single Family or DUP,NA,NA,10/29/2013 04:25:45 PM,05/11/2012,NA,2012,78732,1,2
1994-000095 C8,Subdivision,LAUREL CANYON SUBDIVISION,NA,NA,Approved,999,LAUREL CANYON SUBDIVISION,NA,03/02/2007 06:10:13 AM,03/28/1997,NA,1997,NA,NA,NA
2002-000198 C8,Subdivision,PARKSIDE AT SLAUGHTER CREEK SECTION 6,Final Plat,With Preliminary,Approved,SF,PARKSIDE AT SLAUGHTER CREEK SECTION 6,01/12/2005,03/02/2007 06:10:13 AM,10/04/2004,NA,2004,78747,NA,NA
1984-000058 C8,Subdivision,VILLAGE AT WESTERN OAKS SECTION 14 DAVIS LANE TO  ESCARPMENT,NA,NA,Approved and Released,999,VILLAGE AT WESTERN OAKS SECTION 14 DAVIS LANE TO  ESCARPMENT,NA,03/02/2007 06:10:13 AM,11/29/1993,NA,1993,NA,NA,NA
2013-060981 C8,Subdivision,Presidio Section Two Construction Plans,Subdivision Construction Plan,Concurrent,Subdivision Recorded,ROW,NA,NA,09/12/2014 01:27:36 PM,06/12/2013,09/12/2014,2013,78717,NA,1
2020-133608 C,Subdivision Joint City/County,McMeans Addition,Final Plat,Resubdivision,Expired,Commercial,NA,NA,01/08/2021 09:01:36 PM,08/28/2020,NA,2020,78737,NA,1
1985-000105 C8,Subdivision,SENDERA 15B,NA,NA,Approved and Released,"999, 999, 999",SENDERA 15B,04/30/1998,03/02/2007 06:10:13 AM,10/28/1997,NA,1997,NA,NA,NA
2016-071183 C,Subdivision Joint City/County,Thomas Springs Addition,Final Plat,Previously Unplatted,Expired,Commercial,NA,NA,03/20/2020 11:45:22 AM,06/16/2016,NA,2016,78736,1,2
2008-040677 C,Subdivision Joint City/County,Blackstone Vineyard,Preliminary Plan,Preliminary,Approved,"SF, AMENITY, ROW, GRBLT",NA,07/28/2009,08/02/2011 10:14:10 AM,05/28/2008,07/28/2009,2008,78737,0,157
1994-000201 C8,Subdivision,"TWIN CREEK MEADOWS, RESUB OF LOT 12 BLOCK A",Final Plat,Without Preliminary,Withdrawn,999,"TWIN CREEK MEADOWS, RESUB OF LOT 12 BLOCK A",NA,03/02/2007 06:10:13 AM,09/13/1994,NA,1994,NA,NA,NA
2014-031671 C8,Subdivision,Crestview Station Lot 7 Phase 5 Resubdivision; Construction Plans,Subdivision Construction Plan,Concurrent,Subdivision Recorded,"Single Family, Private Alley, Open Space, Park",NA,NA,12/02/2014 03:48:55 PM,03/31/2014,12/02/2014,2014,78757,NA,75
1984-000189 C8,Subdivision,PARMER CENTER SECTION II (RESUBMITTAL OF C8-84-189.06.1A),Final Plat,With Preliminary,Approved,"IND, ROW, OFC",PARMER CENTER SECTION II (RESUBMITTAL OF C8-84-189.06.1A),12/18/2000,08/27/2009 11:19:13 AM,07/18/2000,NA,2000,NA,NA,NA
2015-035081 C8,Subdivision,Parmer at Dessau Subdivision Section 1 Lot 1 Blk A; Resubdivision,Final Plat,Resubdivision,Subdivision Recorded,Commercial,NA,04/22/2016,04/22/2016 12:27:43 PM,03/30/2015,04/22/2016,2015,78753,1,2
2020-062749 C8,Subdivision,Mueller Section 7F Subdivison,Final Plat,Previously Unplatted,Expired,PUD,NA,NA,06/06/2020 09:01:56 PM,04/21/2020,NA,2020,78723,0,2
1999-002044 C8,Subdivision,OAK HILL TECHNOLOGY PARK - WITHDRAWN SEE C8-00-2076.0A,Final Plat,Resubdivision,Withdrawn,RET,OAK HILL TECHNOLOGY PARK - WITHDRAWN SEE C8-00-2076.0A,11/29/1999,03/16/2009 08:06:31 AM,09/07/1999,NA,1999,NA,NA,2
1990-000108 C8,Subdivision,"LAKEWOOD COUNTRY ESTATES PHASE ONE, RESUBDIVISION OF LOT 10, BLOCK F",NA,NA,Approved,999,"LAKEWOOD COUNTRY ESTATES PHASE ONE, RESUBDIVISION OF LOT 10, BLOCK F",12/31/1990,03/02/2007 06:10:13 AM,09/18/1990,NA,1990,NA,NA,NA
2015-150437 C8,Subdivision,Marcy Hill,Final Plat,Resubdivision,Subdivision Recorded,Single Family,NA,07/17/2017,07/17/2017 03:11:29 PM,12/17/2015,07/17/2017,2015,78745,2,4
2008-037263 C8,Subdivision,Springfield Subdivision,Final Plat,Resubdivision,Expired,"SF, COMM/MU, OFC, PUB",NA,NA,06/30/2008 09:00:27 PM,05/15/2008,NA,2008,NA,734,734
2013-098048 C,Subdivision Joint City/County,"Travis Landing No. 2, Phase 1; Amended Plat",Final Plat,Amended Plat,Subdivision Recorded,Commercial,NA,12/19/2013,12/19/2013 10:09:43 AM,09/18/2013,12/19/2013,2013,NA,2,1
1992-000135 C8,Subdivision,RITCHIE PLACE **EXPIRED**,NA,NA,Expired,999,RITCHIE PLACE **EXPIRED**,08/07/1992,03/02/2007 06:10:13 AM,07/15/1992,NA,1992,NA,NA,7
1997-000068 C8,Subdivision,ROCKCLIFF SUBDIVISION (A.K.A. C8-96-0027.0A),NA,NA,Approved,999,ROCKCLIFF SUBDIVISION (A.K.A. C8-96-0027.0A),NA,03/02/2007 06:10:13 AM,04/04/1997,NA,1997,NA,NA,NA
2001-000049 C8,Subdivision,"WOODS OF CENTURY PARK, SECTION TWO",Final Plat,With Preliminary,Approved,"SF, ROW","WOODS OF CENTURY PARK, SECTION TWO",07/29/2002,03/02/2007 06:10:13 AM,10/02/2001,NA,2001,78727,NA,NA
1985-000070 C8,Subdivision,CANYON CREEK SECTION 11,Subdivision Construction Plan,NA,Approved and Released,"SF, ROW, GRBL",CANYON CREEK SECTION 11,12/21/2000,03/02/2007 06:10:13 AM,06/13/2000,NA,2000,NA,NA,NA
2000-002168 C8,Subdivision,SAN JACINTO CENTER SUBDIVISION; REPLAT OF LOT 4,Final Plat,Without Preliminary,Approved,999,SAN JACINTO CENTER SUBDIVISION; REPLAT OF LOT 4,10/12/2000,03/02/2007 06:10:13 AM,08/01/2000,NA,2000,78701,NA,1
2005-000158 C8,Subdivision,JACK S. MOORE SUBDIVISION (SMART HOUSING),Final Plat,Without Preliminary,Expired,MF,JACK S. MOORE SUBDIVISION (SMART HOUSING),01/10/2006,03/02/2007 06:10:13 AM,08/16/2005,NA,2005,NA,NA,NA
1996-000178 C8,Subdivision,"PARK CENTRAL, SECTION ONE",NA,NA,Approved,"999, 999","PARK CENTRAL, SECTION ONE",12/05/1996,03/02/2007 06:10:13 AM,08/26/1996,NA,1996,NA,NA,8
1999-000006 C8,Subdivision,SECURITY STORAGE,Final Plat,Without Preliminary,Withdrawn,999,SECURITY STORAGE,05/19/1999,03/02/2007 06:10:13 AM,01/12/1999,NA,1999,NA,NA,NA
1984-000197 C8,Subdivision,SENDERA SOUTH SECTION 1,NA,NA,Closed,"999, 999, 999, 999",SENDERA SOUTH SECTION 1,07/22/1998,03/02/2007 06:10:13 AM,06/26/1998,NA,1998,NA,NA,NA
1981-000022 C8,Subdivision,GREAT HILLS RESERVE SECTIONS 31 & 32,NA,NA,Approved,"999, 999, 999",GREAT HILLS RESERVE SECTIONS 31 & 32,06/18/1998,03/02/2007 06:10:13 AM,01/27/1998,NA,1998,NA,NA,NA
1984-000122 C8,Subdivision,METRO CENTER,NA,NA,Approved,999,METRO CENTER,01/29/1996,03/02/2007 06:10:13 AM,08/23/1995,NA,1995,NA,NA,NA
2018-159919 C8,Subdivision,Hyde Park Amended Plat of Lots A & B Resub of Lots 17-24 Blck 21,Final Plat,Amended Plat,Subdivision Recorded,Single Family,NA,02/06/2019,02/06/2019 02:06:28 PM,09/07/2018,02/06/2019,2018,78751,2,2
2011-043803 C,Subdivision Joint City/County,"OVERLOOK ESTATES, PHASE 1",Subdivision Construction Plan,Street/Drainage,Approved and Released,Roadway & Drainage Related Grading,NA,NA,08/05/2011 09:29:15 AM,05/20/2011,08/05/2011,2011,NA,NA,2
2008-017476 C8,Subdivision,Meridian Section F,Final Plat,With Preliminary,Approved,"PUD-SF1, GRBLT/OPEN SPACE, ROW",NA,02/19/2009,03/13/2009 11:31:28 AM,03/12/2008,10/07/2008,2008,78739,1,58
2015-037002 C,Subdivision Joint City/County,Breakwater Subdivision,Preliminary Plan,Preliminary,Expired,Single Family,NA,NA,05/18/2015 09:00:05 PM,04/02/2015,NA,2015,78737,NA,24
2014-075742 C,Subdivision Joint City/County,Entrada Revised Preliminary,Preliminary Plan,Revised Preliminary,Expired,"ROW,SF, RET, GRBLT, PUB",NA,NA,06/06/2018 05:16:32 PM,07/18/2014,NA,2014,NA,2,720
2016-008453 C8,Subdivision,Northridge Park Section Two Phase A-1B,Subdivision Construction Plan,Street/Drainage,Subdivision Recorded,Single Family,NA,NA,08/09/2016 09:10:09 AM,01/26/2016,08/09/2016,2016,NA,NA,29
1985-000105 C8,Subdivision,MAPLE RUN SECTION 15 *EXPIRED* (SEE RESUBMITTAL OFC8-85-105.02.3A),NA,NA,Expired,"999, 999, 999",MAPLE RUN SECTION 15 *EXPIRED* (SEE RESUBMITTAL OFC8-85-105.02.3A),12/13/1993,03/02/2007 06:10:13 AM,06/29/1993,NA,1993,NA,NA,NA
1988-000113 C8,Subdivision,WATERSPARK PLAZA   **EXPIRED**,NA,NA,Expired,"999, 999",WATERSPARK PLAZA   **EXPIRED**,01/10/1989,03/02/2007 06:10:13 AM,12/27/1988,NA,1988,NA,NA,NA
1999-000113 C8,Subdivision,GRANDVIEW HILLS SEC 14,Final Plat,Previously Unplatted,Approved,"999, 999","GRANDVIEW HILLS, SECTION 14",07/12/2000,02/19/2009 10:14:08 AM,04/20/1999,NA,1999,78726,NA,2
2001-Z192173 C8,Subdivision,L AND I SUBDIVISION,Final Plat,Without Preliminary,Closed,SF,L AND I SUBDIVISION,NA,03/02/2007 06:10:13 AM,NA,NA,NA,NA,NA,NA
2007-166018 C8,Subdivision,Platinum Lakeline Subdivision,Final Plat,With Preliminary,Approved,RET,NA,06/25/2008,10/02/2008 09:25:52 AM,11/15/2007,06/10/2008,2007,78717,1,2
1988-000066 C8,Subdivision,"TANGLEWOOD FOREST, SECTION 7-B",NA,NA,Expired,999,"TANGLEWOOD FOREST, SECTION 7-B",08/02/1988,03/02/2007 06:10:13 AM,07/11/1988,NA,1988,NA,NA,NA
2002-000003 C8,Subdivision,STEINER RANCH PHASE ONE SECTION 6,Preliminary Plan,Preliminary,Withdrawn,"SF, GRBL, ROW",STEINER RANCH PHASE ONE SECTION 6,05/13/2002,03/02/2007 06:10:13 AM,01/08/2002,NA,2002,NA,NA,NA
2004-000038 C8,Subdivision,"STASSNEY HEIGHTS COMPOSITE RESUBDIVISION OF LOTS 1A, 2A & 4A, BLOCK B AMENDED PL",Final Plat,Resubdivision,Approved,RET,"STASSNEY HEIGHTS COMPOSITE RESUBDIVISION OF LOTS 1A, 2A & 4A, BLOCK B AMENDED PLAT; RESUBDIVISION OF LOT 1, BLOCK B",05/27/2004,02/05/2009 12:01:10 PM,03/15/2004,NA,2004,NA,NA,2
2011-104847 C8,Subdivision,Mueller Section II-B Construction Plans,Subdivision Construction Plan,Non-Concurrent,Subdivision Recorded,NA,NA,NA,05/11/2012 01:52:28 PM,11/18/2011,05/11/2012,2011,78723,NA,5
2011-024565 C8,Subdivision,"IBM East Subdivision, Block ""A"", Lots 1 & 2; Amended Plat",Final Plat,Amended Plat,Subdivision Recorded,"OFC, MF & RET",NA,03/02/2012,04/04/2012 10:43:52 AM,03/25/2011,03/02/2012,2011,78758,2,2
2002-000039 C8,Subdivision,PARMER CENTER SUBDIVISIONS,Subdivision Construction Plan,NA,Approved and Released,RET,PARMER CENTER SUBDIVISIONS,10/01/2002,03/02/2007 06:10:13 AM,07/05/2002,NA,2002,NA,NA,NA
1996-000140 C8,Subdivision,THORNTON SUBDIVISION,Final Plat,Resubdivision,Approved,999,THORNTON SUBDIVISION,NA,04/08/2009 09:07:07 AM,07/12/1996,NA,1996,78733,NA,1
1982-000076 C8,Subdivision,MT. LARSON II,NA,NA,Approved,"999, 999",MT. LARSON II,11/05/1986,03/02/2007 06:10:13 AM,12/21/1982,NA,1982,NA,NA,NA
1993-000116 C8,Subdivision,"HIGH VISTA SEC. 1, RESUB. OF LOTS 1 & 2 *EXPIRED**",NA,NA,Expired,999,"HIGH VISTA SEC. 1, RESUB. OF LOTS 1 & 2 *EXPIRED**",09/14/1993,03/02/2007 06:10:13 AM,07/08/1993,NA,1993,NA,NA,NA
2002-000066 C,Subdivision Joint City/County,"HIDDEN LAKE ESTATES, SECTION 1",Subdivision Construction Plan,Street/Drainage,Expired,"SF, GRBL","HIDDEN LAKE ESTATES, SECTION 1",08/04/2006,08/11/2014 12:54:27 PM,09/08/2004,NA,2004,NA,NA,NA
1984-000039 C8,Subdivision,"PARKE, SECTION 4 THE",NA,NA,Closed,999,"PARKE, SECTION 4 THE",01/07/1994,03/02/2007 06:10:13 AM,11/24/1993,NA,1993,NA,NA,NA
1984-000164 C8,Subdivision,"**CIRCLE C, PH. B, SEC. 6** PREVIOUSLY C8-84-164.01.6(B)-C",NA,NA,Closed,999,"**CIRCLE C, PH. B, SEC. 6** PREVIOUSLY C8-84-164.01.6(B)-C",NA,03/02/2007 06:10:13 AM,08/29/1988,NA,1988,NA,NA,NA
1967-000085 C8,Subdivision,NORTHWEST HILLS SECTION 15 & 15-A,NA,NA,Closed,999,NORTHWEST HILLS SECTION 15 & 15-A,09/18/1995,03/02/2007 06:10:13 AM,08/29/1995,NA,1995,NA,NA,NA
2013-098003 C8,Subdivision,Fort Dessau South,Final Plat,With Preliminary,Subdivision Recorded,Single Family,NA,05/20/2014,05/30/2014 09:52:39 AM,09/18/2013,05/20/2014,2013,78660,1,88
2008-049813 C8,Subdivision,"Tech. Ridge Sec 1, Resubdivision of",Final Plat,Resubdivision,Approved,NA,NA,01/05/2009,06/15/2009 10:39:05 AM,06/26/2008,12/16/2008,2008,78753,7,6
2014-072474 C8,Subdivision,Ross Complex,Final Plat,Previously Unplatted,Expired,RET,NA,NA,01/10/2015 03:45:17 AM,07/10/2014,NA,2014,78617,1,3
1994-000185 C8,Subdivision,"HILLS OF LAKEWAY PH 3, AMENDED PLAT OF LOTS 822 & 823",Final Plat,Amended Plat,Approved,999,"HILLS OF LAKEWAY PHASE THREE, AMENDED PLAT OF LOTS 822 AND 823, THE",NA,01/15/2009 11:45:36 AM,08/23/1994,NA,1994,NA,NA,1
1991-000086 C8,Subdivision,WILLIAMSON COUNTY FIRE DISTRICT NO. 1 SUBDIVISION,Final Plat,Previously Unplatted,Approved,"999, 999",WILLIAMSON COUNTY FIRE DISTRICT NO. 1 SUBDIVISION,08/05/1991,11/07/2008 02:24:33 PM,07/17/1991,NA,1991,78729,NA,2
1994-000203 C8,Subdivision,JACK'S POND SECTION ONE,NA,NA,Approved,999,JACK'S POND SECTION ONE,NA,03/02/2007 06:10:13 AM,07/06/1995,NA,1995,NA,NA,NA
1992-000077 C8,Subdivision,HIELSCHER PRELIMINARY - ADMINISTRATIVE REVISION # 2,Preliminary Plan,Revised Preliminary,Approved,SF,HIELSCHER PRELIMINARY - ADMINISTRATIVE REVISION # 2,09/05/2001,03/02/2007 06:10:13 AM,03/06/2001,NA,2001,NA,NA,NA
2008-028332 C8,Subdivision,Winkley Loma Vista,Final Plat,Previously Unplatted,Approved,Single Family,NA,07/20/2009,09/08/2009 08:46:35 AM,04/18/2008,06/24/2009,2008,78737,1,5
2001-000279 C8,Subdivision,"ORIGINAL CITY OF AUSTIN, BLOCK 2, AMENDMENT OF THE AMENDED PLAT OF LOTS 5 & 6",Final Plat,Amended Plat,Approved,"RET, OFC","ORIGINAL CITY OF AUSTIN, BLOCK 2, AMENDMENT OF THE AMENDED PLAT OF LOTS 5 & 6",01/02/2002,02/06/2009 08:06:19 AM,12/18/2001,NA,2001,78701,NA,NA
2005-000019 C,Subdivision Joint City/County,PANTHER HOLLOW CONSTRUCTION PLANS,Subdivision Construction Plan,NA,Expired,"SF, ROW",PANTHER HOLLOW CONSTRUCTION PLANS,05/20/2005,03/02/2007 06:10:13 AM,01/31/2005,NA,2005,NA,NA,NA
2006-000282 C8,Subdivision,RIVERSIDE AT MONTOPOLIS (SMART HOUSING),Final Plat,Without Preliminary,Approved,"MF, MF",RIVERSIDE AT MONTOPOLIS (SMART HOUSING),04/26/2007,02/04/2008 03:35:52 PM,12/27/2006,01/22/2008,2006,78741,NA,3
2012-003366 C8,Subdivision,Cearley Subdivision (Prelim),Preliminary Plan,Preliminary,Approved,Commercial,NA,NA,01/16/2013 04:38:14 PM,01/12/2012,NA,2012,NA,1,3
2012-018803 C8,Subdivision,Nowotny Subdivision,Final Plat,Previously Unplatted,Subdivision Recorded,Single Family,NA,06/20/2013,06/20/2013 02:39:55 PM,02/27/2012,06/20/2013,2012,NA,1,3
2000-002251 C,Subdivision Joint City/County,FOREST BLUFF SECTION 6,Final Plat,With Preliminary,Subdivision Recorded,SF,FOREST BLUFF SECTION 6,04/18/2017,04/18/2017 04:29:29 PM,11/23/2004,04/18/2017,2004,NA,NA,116
1995-000244 C8,Subdivision,ESTATES OF LEWIS MOUNTAIN,Subdivision Construction Plan,Non-Concurrent,Approved and Released,"999, 999",ESTATES OF LEWIS MOUNTAIN,05/18/2009,05/18/2009 09:34:51 AM,01/10/1997,NA,1997,78737,NA,17
1984-000058 C8,Subdivision,VILLAGE AT WESTERN OAKS SECTION 35,NA,NA,Closed,999,VILLAGE AT WESTERN OAKS SECTION 35,09/02/1992,03/02/2007 06:10:13 AM,08/03/1992,NA,1992,NA,NA,NA
2016-044470 C8,Subdivision,Janzow Addition,Final Plat,Previously Unplatted,Subdivision Recorded,Single Family,NA,01/18/2017,01/18/2017 11:03:40 AM,04/19/2016,01/18/2017,2016,78741,1,2
1984-000058 C8,Subdivision,VILLAGE AT WESTERN OAKS SECTIONS 28 & 29,NA,NA,Approved,"999, 999",VILLAGE AT WESTERN OAKS SECTIONS 28 & 29,07/12/1993,03/02/2007 06:10:13 AM,07/24/1992,NA,1992,NA,NA,NA
1998-000202 C8,Subdivision,"VILLAGE AT WALNUT CREEK PH 2, SEC 14 RESUBDIVISION",Final Plat,Resubdivision,Approved,999,"VILLAGE AT WALNUT CREEK PH 2, SEC 14 RESUBDIVISION",04/27/1999,03/17/2009 07:46:35 AM,12/07/1998,NA,1998,78758,NA,2
2001-000173 C8,Subdivision,"TARRYWOOD SUBDIVISION, AMENDED PLAT OF LOTS 1 - 4",Final Plat,Amended Plat,Approved,SF,TARRYWOOD SUBDIVISION; AMENDED PLAT,09/06/2001,02/06/2009 09:41:03 AM,07/24/2001,NA,2001,78703,NA,3
2007-169882 C8,Subdivision,Spring Lake Subdivision,Final Plat,Previously Unplatted,Expired,Single Family,NA,01/16/2009,01/16/2009 01:45:41 PM,12/06/2007,NA,2007,NA,1,1
1996-000018 C8,Subdivision,INN HOME AMERICA NORTH,Final Plat,Previously Unplatted,Approved,999,INN HOME AMERICA NORTH,NA,03/23/2009 02:07:04 PM,01/31/1996,NA,1996,NA,NA,1
2001-000214 C8,Subdivision,AVERY RANCH FAR WEST PHASE ONE,Preliminary Plan,Revised Preliminary,Approved,SF,AVERY RANCH FAR WEST PHASE ONE,04/11/2002,03/02/2007 06:10:13 AM,04/02/2002,NA,2002,NA,NA,NA
2006-000110 C,Subdivision Joint City/County,"ANDERSON MILL MEDICAL CENTER, AMENDED PLAT OF",Final Plat,Amended Plat,Approved,OFC,"ANDERSON MILL MEDICAL CENTER, AMENDED PLAT OF",09/08/2006,01/29/2009 11:36:55 AM,05/23/2006,NA,2006,78750,NA,2
2013-020941 C8,Subdivision,Lot 24 Block C Bellaire;Resubdivision of,Final Plat,Resubdivision,Subdivision Recorded,Single Family,NA,09/09/2013,09/09/2013 04:12:58 PM,03/04/2013,09/09/2013,2013,78757,1,2
1985-000002 C8,Subdivision,TWENTY TWO TWENTY TWO BUSINESS PARK,NA,NA,Approved,"999, 999, 999, 999, 999",TWENTY TWO TWENTY TWO BUSINESS PARK,05/30/1997,03/02/2007 06:10:13 AM,12/17/1996,NA,1996,NA,NA,NA
2008-027496 C,Subdivision Joint City/County,Arldt Estates Subdivision,Final Plat,Previously Unplatted,Expired,NA,NA,NA,06/01/2008 09:00:43 PM,04/16/2008,NA,2008,78737,0,5
1984-000102 C8,Subdivision,LANTANA PHASE 1 SECTION 2 (W/D & RESUBMITTAL),Final Plat,With Preliminary,Expired,"999, 999, 999, 999",LANTANA PHASE 1 SECTION 2 (W/D & RESUBMITTAL),08/24/1995,03/02/2007 06:10:13 AM,05/19/1995,NA,1995,NA,NA,NA
2000-002025 C8,Subdivision,"SOUTHLAND OAKS SEC 4 PH C, AMENDED PLAT OF LOTS 84-86 & 89-92 BLOCK H",Final Plat,Amended Plat,Approved,SF,"SOUTHLAND OAKS SECTION 4, PHASE C; AMENDED PLAT OF LOTS 84-86 & 89-92 BLOCK H",03/03/2000,02/06/2009 02:37:29 PM,01/26/2000,NA,2000,78748,NA,NA
1985-000070 C8,Subdivision,STANDARD PACIFIC AT CANYON CREEK SECTION 11,Final Plat,With Preliminary,Withdrawn,MF,STANDARD PACIFIC AT CANYON CREEK SECTION 11,04/06/2000,03/02/2007 06:10:13 AM,02/22/2000,NA,2000,NA,NA,NA
1984-000164 C8,Subdivision,"CIRCLE C PHASE C, SECTION TWO",NA,NA,Closed,"999, 999","CIRCLE C PHASE C, SECTION TWO",05/27/1993,03/02/2007 06:10:13 AM,05/07/1993,NA,1993,NA,NA,NA
1999-Z011962 C8,Subdivision,MARSHALL'S POINT,Subdivision Construction Plan,NA,Closed,NA,MARSHALL'S POINT,NA,03/02/2007 06:10:13 AM,NA,NA,NA,NA,NA,NA
1984-000164 C8,Subdivision,CIRCLE C - ADMINISTRATIVE REVISION,NA,NA,Closed,999,CIRCLE C - ADMINISTRATIVE REVISION,03/23/1992,03/02/2007 06:10:13 AM,02/27/1992,NA,1992,NA,NA,NA
